rule_id,rule_name,family_name,severity_name,error_rate_pct,test_volume,anomaly,anomaly_score
90,MaxNumberOfWordsPerSentence,Phrase,Severe,100.0,7,-1,-0.15369240512259452
85,GIFASTokenCount,Phrase,Severe,100.0,11,-1,-0.16020519265714916
91,MaxNumberOfWordsPerSentenceTitle,Titre,Severe,60.0,5,-1,-0.07972989576025458
113,TooManyClausesNoGerund,Phrase,Severe,59.78,92,-1,-0.14024109241563432
74,GIFAS1InfoMax,Phrase,Severe,59.18,49,-1,-0.07552594181775996
108,ProhibitedTensesForDirectives,Verbe,Severe,44.44,9,-1,-0.03503713781642548
70,BracketsContentInfo,Phrase,Severe,39.06,64,-1,-0.02889248799708055
94,MultipleConjunctions,Phrase,Majeur,33.33,6,-1,-0.0010421281587129627
84,GIFASProhibitedTenses,Verbe,Severe,32.14,28,1,0.03239789575357099
82,GIFASPresentParticiple,Verbe,Majeur,29.17,24,1,0.06104375200318296
73,DoubleNegation,Phrase,Severe,28.57,63,1,0.04190064519776204
75,GIFAS1InstructionMax,Phrase,Severe,28.57,49,1,0.06633869763669098
76,GIFASAction,Phrase,Severe,27.27,22,1,0.06940410418795184
107,ProhibitedTenses,Verbe,Severe,26.67,15,1,0.03792907931908701
86,GIFASWordNotApproved,Vocabulaire,Severe,25.68,74,1,0.015743197468510273
99,Omission,Phrase,Severe,23.91,46,1,0.0831479555725479
111,TooManyBracketPairs,Phrase,Majeur,23.81,21,1,0.0762608118971595
77,GIFASActionInWarning,Alerte,Severe,23.33,30,1,0.06861874628628306
115,TooManyVerbsWithCond,Phrase,Severe,22.45,49,1,0.09518880519963979
68,AcceptableUnit,Unite,Majeur,22.22,81,1,0.004168512634851962
101,PhrasingComplexity,Vocabulaire,Severe,21.88,64,1,0.07338315863750866
89,ListWithIntroductorySentenceRegex,Liste,Majeur,21.05,19,1,0.0596329259838837
81,GIFASPassiveVoice,Verbe,Severe,20.0,55,1,0.0755567902864765
83,GIFASProhibitedPunctuation,Ponctuation,Majeur,17.95,39,1,0.06599417164347976
112,TooManyClauses,Phrase,Severe,15.79,95,-1,-0.03133512585191678
103,ProhibitedPunctuation,Ponctuation,Mineur,15.52,58,1,0.06802598192207437
92,Modal,Verbe,Severe,14.71,68,1,0.051812944542062034
87,InadequatePhrasing,Vocabulaire,Severe,13.73,51,1,0.07818360411226755
102,PhrasingVagueness,Vocabulaire,Severe,9.78,92,-1,-0.019118530033468306
69,BracketsContent,Phrase,Severe,9.52,63,1,0.04123866990281844
98,NumeralThousandFormat,Chiffre,Mineur,8.33,24,1,0.05351121181142948
71,CondLocation,Phrase,Severe,8.16,49,1,0.07313784535262718
95,NumeralDecimalDigit,Chiffre,Mineur,7.32,41,1,0.06728049251644597
93,ModalForDirectives,Verbe,Severe,6.52,46,1,0.06641578563617118
96,NumeralDecimalSep,Chiffre,Mineur,5.88,34,1,0.04838138190427188
79,GIFASNoActionInNote,Note,Severe,4.17,24,1,0.05027325293916668
78,GIFASConjunctionBeforeVerb,Phrase,Severe,2.61,115,-1,-0.16422978696433854
109,SafetySemanticField,Note,Severe,1.08,93,-1,-0.05140244067169919
61,AcceptableTitleIsUnique,Titre,Mineur,0.0,2,1,0.10478399794122245
105,ProhibitedPunctuationForItems,Ponctuation,Mineur,0.0,10,1,0.10728072699358454
72,CondPhrasing,Phrase,Severe,0.0,50,1,0.03121873360808347
66,AcceptableTitleNotAlone,Titre,Mineur,0.0,2,1,0.10478399794122245
63,AcceptableTitleLevelMaxToC,Titre,Majeur,0.0,2,1,0.10478399794122245
100,PeriodAtEndOfList,Liste,Mineur,0.0,2,1,0.10478399794122245
65,AcceptableTitleNominal,Titre,Severe,0.0,16,1,0.05842187204688054
97,NumeralDigit,Chiffre,Majeur,0.0,41,1,0.0429905229721958
110,TooFewItemsInList,Liste,Majeur,0.0,3,1,0.10325450857907242
64,AcceptableTitleMaj,Titre,Mineur,0.0,8,1,0.10505078035285503
104,ProhibitedPunctuationExceptItems,Ponctuation,Mineur,0.0,6,1,0.10128819176181952
59,AcceptableItem,Liste,Mineur,0.0,3,1,0.10325450857907242
62,AcceptableTitleLevelMax,Titre,Majeur,0.0,2,1,0.10478399794122245
106,ProhibitedPunctuationForTitles,Ponctuation,Mineur,0.0,9,1,0.10604027772097335
60,AcceptableTitleArt,Titre,Mineur,0.0,10,1,0.10728072699358454
114,TooManyItemsInList,Liste,Majeur,0.0,2,1,0.10478399794122245
80,GIFASParagraphSentenceCount,Paragraphe,Mineur,0.0,3,1,0.10325450857907242
88,ListWithIntroductorySentenceParagraph,Liste,Majeur,0.0,4,1,0.09457008808432305
67,AcceptableTitleNotEmpty,Titre,Severe,0.0,11,1,0.09978459038564336
